mmsi,lat,lon,speed,heading,course,timestamp,datetime_UTC
563034200,1.200633,103.73822,0.0,145,261.3,1664205836,2022-09-26T15:23:56Z
413820436,31.659072,120.304643,4.3,310,310.1,1664205840,2022-09-26T15:24:00Z
413841777,22.981035,113.513,0.0,209,94.0,1664205840,2022-09-26T15:24:00Z
413489510,22.531,113.795267,6.1,80,80.7,1664205840,2022-09-26T15:24:00Z
413855553,22.329212,114.116347,0.0,184,209.1,1664205840,2022-09-26T15:24:00Z
413831849,31.506243,121.417895,7.6,309,309.8,1664205840,2022-09-26T15:24:00Z
413999645,23.062047,112.9756,5.9,347,347.4,1664205840,2022-09-26T15:24:00Z
413989688,30.734157,121.305733,0.0,41,0.0,1664205840,2022-09-26T15:24:00Z
413054560,23.047893,113.342333,0.0,309,165.6,1664205840,2022-09-26T15:24:00Z
413772502,23.084855,113.3966,0.0,355,208.1,1664205840,2022-09-26T15:24:00Z
636018904,-43.531048,172.834197,0.3,63,347.8,1664204708,2022-09-26T15:05:08Z
563057600,-9.216833,-146.453338,10.1,298,295.5,1664204708,2022-09-26T15:05:08Z
512004593,-36.841437,174.750593,0.0,20,285.9,1664204708,2022-09-26T15:05:08Z
566181000,0.00134,117.586668,0.1,199,97.3,1664205736,2022-09-26T15:22:16Z
413440580,31.384543,121.587947,10.9,16,296.2,1664205852,2022-09-26T15:24:12Z
563052700,-36.495082,174.990668,7.6,177,180.3,1664204716,2022-09-26T15:05:16Z
512005119,-36.843537,174.770093,0.0,168,360.0,1664204716,2022-09-26T15:05:16Z
538008587,-41.074185,176.785152,12.0,27,29.4,1664204716,2022-09-26T15:05:16Z
533131015,1.363683,103.544183,1.2,152,143.0,1664205876,2022-09-26T15:24:36Z
574004590,1.87232,102.431938,11.6,295,294.4,1664205876,2022-09-26T15:24:36Z
413787453,32.130857,119.554867,0.0,296,296.7,1664205876,2022-09-26T15:24:36Z
273399390,46.627743,142.756313,0.0,339,163.6,1664205876,2022-09-26T15:24:36Z
431501626,34.647208,135.45142,0.0,246,281.9,1664205876,2022-09-26T15:24:36Z
431018528,34.483292,133.749735,0.0,19,16.2,1664205876,2022-09-26T15:24:36Z
416005437,23.213137,120.086378,0.0,277,33.4,1664205876,2022-09-26T15:24:36Z
355640000,18.753747,72.568217,12.5,9,9.9,1664205876,2022-09-26T15:24:36Z
352001797,1.070163,103.902807,0.0,111,0.0,1664205876,2022-09-26T15:24:36Z
431602151,31.599558,130.566408,0.0,79,343.8,1664205876,2022-09-26T15:24:36Z
431014027,42.918208,144.438325,14.3,107,113.0,1664205876,2022-09-26T15:24:36Z
413701950,22.623673,113.687013,0.0,168,264.0,1664205876,2022-09-26T15:24:36Z
636016321,22.500318,114.436497,5.6,325,323.9,1664205876,2022-09-26T15:24:36Z
525019599,22.603983,120.28555,0.0,330,35.5,1664205876,2022-09-26T15:24:36Z
431001046,37.2401,138.14545,14.5,120,119.0,1664205876,2022-09-26T15:24:36Z
356132000,-7.1967,112.707008,0.0,100,79.0,1664205876,2022-09-26T15:24:36Z
373393000,36.223137,142.091033,11.2,226,226.5,1664205876,2022-09-26T15:24:36Z
525025072,0.163043,117.584437,0.1,201,62.9,1664205876,2022-09-26T15:24:36Z
518100645,-17.772525,177.383105,0.0,348,360.0,1664205880,2022-09-26T15:24:40Z
413906685,23.094632,113.439098,0.1,88,88.8,1664205880,2022-09-26T15:24:40Z
431004228,35.225452,140.564955,16.0,220,221.4,1664205880,2022-09-26T15:24:40Z
431005858,34.209977,135.143712,0.0,245,147.1,1664205880,2022-09-26T15:24:40Z
636015896,-20.5215,116.708807,8.6,19,18.2,1664205880,2022-09-26T15:24:40Z
636014042,1.260428,103.72625,0.0,63,348.7,1664205880,2022-09-26T15:24:40Z
477691500,0.554402,117.69657,0.1,329,138.3,1664205880,2022-09-26T15:24:40Z
