MMSI,Latitude,Longitude,Speed,Heading,ProcessedDate,MovementDateTime
211126670,54.10812167,13.80955667,0.1,254,2021-07-25T18:00:00Z,2021-07-25T17:42:55Z
529425000,1.276343333,103.9723933,0.2,0,2021-07-23T04:00:00Z,2021-07-23T03:44:29Z
235000322,52.659695,5.600856667,0,143,2021-07-28T09:00:00Z,2021-07-28T08:57:05Z
356568000,-25.36066167,-42.65730833,2.1,15,2021-07-27T22:00:00Z,2021-07-27T21:57:26Z
636019374,-24.57127833,-42.25022667,0.2,225,2021-07-24T21:00:00Z,2021-07-24T20:55:38Z
244690067,51.17166667,5.873333333,0,0,2021-07-22T19:00:00Z,2021-07-22T18:31:03Z
351471000,9.34211,-79.90076667,0,0,2021-07-16T01:00:00Z,2021-07-16T00:58:51Z
617008000,14.88771667,-24.67839167,0.4,0,2021-07-24T00:00:00Z,2021-07-23T23:42:14Z
309856000,-22.18155333,-39.95322833,0.3,103,2021-07-20T06:00:00Z,2021-07-20T05:50:01Z
755004071,-25.56638833,-57.5738,0,0,2021-07-19T10:00:00Z,2021-07-19T09:37:00Z
355417000,28.45166667,33.055,0,0,2021-07-27T12:00:00Z,2021-07-27T11:47:04Z
246631000,51.47033167,3.716996667,0,248.2,2021-07-28T09:00:00Z,2021-07-28T08:57:46Z
312578000,1.281158333,103.9992633,9.7,84.1,2021-07-25T07:00:00Z,2021-07-25T06:55:56Z
355417000,28.45166667,33.055,0,0,2021-07-25T07:00:00Z,2021-07-25T06:37:05Z
755004071,-25.61625167,-57.63670333,0,0,2021-07-16T20:00:00Z,2021-07-16T19:57:44Z
246631000,51.47034,3.71702,0,344.7,2021-07-19T20:00:00Z,2021-07-19T19:58:28Z
755004071,-26.46678,-58.20309333,0,0,2021-07-24T01:00:00Z,2021-07-24T00:54:57Z
413325280,38.26396833,118.8052333,0,0,2021-07-18T13:00:00Z,2021-07-18T12:58:49Z
211521240,49.48134,8.520655,0,0,2021-07-18T14:00:00Z,2021-07-18T13:58:23Z
