MMSI,IMO,SHIP_ID,LAT,LON,SPEED,HEADING,COURSE,STATUS,TIMESTAMP,SHIPNAME,SHIPTYPE,CALLSIGN,FLAG,LENGTH,WIDTH,GRT,DWT,DRAUGHT,YEAR_BUILT,TYPE_NAME,AIS_TYPE_SUMMARY,DESTINATION,ETA
626143000,9233234,208583,3.23287,105.3278,108,38,35,1,9/19/2022 12:55,SIMBA,89,TRAD8,GA,244,42.03,57508,105709,148,2002,Crude Oil Tanker,Tanker,SINGAPORE,2022-09-02T12:00:00
525016528,9325594,704425,3.58,105.9867,60,511,304,0,9/19/2022 13:38,LOGINDO SERVEWELL S,52,PNAJ,ID,57.5,13.8,1337,1473,42,2004,Supply Vessel,Special Craft,BELIDA FIELD,2022-09-20T00:30:00
533000528,9413602,706917,1.001667,108.6733,50,511,23,0,9/19/2022 13:40,DANUM 66,52,9WGU8,MY,37,11.4,467,315,42,2007,Tug,Tug,BINTULU,2022-09-24T06:00:00
533000793,9494917,707018,1.583333,105.1017,90,511,81,0,9/19/2022 13:41,JM SUTERA 7,82,9MIE4,MY,105.83,18.6,5182,8000,73,2009,Oil Products Tanker,Tanker,BINTULU MY,2022-09-21T18:00:00
533760000,9308314,708517,1.988333,106.9483,40,511,75,0,9/19/2022 13:54,DANUM 8,52,9WFN8,MY,37,11.4,475,378,34,2003,Tug,Tug,KCNG,2022-09-22T04:00:00
533800000,9414864,708566,1.859467,106.3845,44,511,256,0,9/19/2022 12:54,DANUM 53,52,9WGN7,MY,30.2,8.6,269,297,30,2006,Tug,Tug,PORTKLANG,2022-09-23T02:00:00
565994000,9582532,873329,2.268333,108.1517,130,511,5,0,9/19/2022 13:40,IONIC KIZUNA,70,9V3083,SG,228.99,32.26,43008,81868,134,2015,Bulk Carrier,Cargo,ZHANJIANG CHINA,2022-09-24T00:00:00
374907000,9544097,3695409,2.59,107.3933,120,511,249,0,9/19/2022 13:43,PRIMROSE ATLANTIC,70,H9FT,PA,228.99,32.26,42995,81879,145,2016,Bulk Carrier,Cargo,SGSIN PEBG C,2022-09-20T14:00:00
209766000,9650169,5169515,2.215,108.1767,100,511,181,0,9/19/2022 13:37,ALTUS,70,5BJY5,CY,197,32.26,33084,58630,69,2012,Bulk Carrier,Cargo,TABONEO,2022-09-21T20:00:00
255806436,9404089,144185,3.888333,105.8417,150,511,28,0,9/19/2022 13:46,KRISTIN SCHEPERS,72,CQEN9,PT,140.6,21.8,7852,9500,60,2008,Container Ship,Cargo,CNNGB,2022-09-25T12:00:00
235077315,9468190,195862,2.803333,105.1933,90,511,206,0,9/19/2022 13:36,NORMAND BALTIC,90,2DAO6,GB,94.9,20.03,4792,4100,52,2010,Construction Support Vessel,Special Craft,SINGAPORE,2022-09-20T15:00:00
311000472,9705653,5166680,1.838862,105.1334,22,274,0,0,9/19/2022 12:59,MACOMA,89,C6CH4,BS,294.9,46.44,113557,95253,115,2017,LNG Tanker,Tanker,FOR ORDERS,2022-09-27T16:01:00
412440805,9920227,5252437,2.743333,105.065,10,511,210,1,9/19/2022 13:41,FU YUAN YU,30,,CN,72,12,,,60,,Fishing,Fishing,CLASS B,
477139900,9757852,5254295,3.778333,105.6867,170,511,210,0,9/19/2022 13:45,COSCO SHIPPING KILIMANJARO,71,VRRF5,HK,366,51.3,154300,153745,143,2017,Container Ship,Cargo,SGSIN,2022-09-20T04:15:00
352986205,9888481,6721428,2.589445,107.096,126,255,256,0,9/19/2022 13:00,PRISM COURAGE,80,3E3945,PA,299,48,122166,97494,95,2021,LNG Tanker,Tanker,SINGAPORE OPL,2022-09-11T16:00:00
636020999,9838589,6725317,3.18,105.2983,120,511,32,0,9/19/2022 13:36,A LEOPARD,80,5LBT3,LR,250,44,63416,114066,126,2021,Crude Oil Tanker,Tanker,YOSU,2022-09-27T08:00:00
210083000,9454905,123891,1.84,105.3783,110,511,249,0,9/19/2022 13:43,EFESSOS WAVE,70,5BPG3,CY,229,36.84,47984,87332,139,2012,Bulk Carrier,Cargo,SGSIN>PEBGC,2022-09-19T22:00:00
431534000,9355202,458031,1.092987,106,170,302,306,0,9/19/2022 13:01,ARTEMIS LEADER,79,7KKD,JP,199.94,32.26,62568,21424,79,2008,Vehicles Carrier,Cargo,TH LCH,2022-09-21T22:00:00
506127000,9544865,698088,1.014167,106.0377,121,295,303,0,9/19/2022 12:59,HAN THAR,79,XYMH,MM,101.5,19.6,6522,9934,72,2009,General Cargo,Cargo,SINGAPORE,2022-09-21T10:00:00
510436000,9058074,3783932,2.058777,107.592,80,263,266,0,9/19/2022 13:01,KAIKO MARU,80,V6IVC,FM,91,13,1591,2999,55,1992,Oil Products Tanker,Tanker,E/OPL,2022-09-20T18:12:00
563010700,9766190,4750184,2.545,107.7683,130,511,41,0,9/19/2022 13:43,HAFNIA KALLANG,80,9V3756,SG,228,32,43072,74189,126,2017,Oil Products Tanker,Tanker,BN MUA,2022-09-20T12:00:00
477057500,9758727,4978662,1.912328,108.274,119,194,191,0,9/19/2022 12:59,ITG UMING 1,70,VRQQ7,HK,228.99,32.26,44398,81361,78,2017,Bulk Carrier,Cargo,TARAHAN,2022-09-21T17:00:00
538008831,9877808,6162443,1.16,105.41,110,511,134,0,9/19/2022 13:44,MIDNIGHT GLORY,80,V7A2809,MH,183.06,32,29649,50324,102,2020,Oil/Chemical Tanker,Tanker,AUBNE,2022-10-02T08:00:00
370425000,9903499,6660073,3.391667,105.185,130,511,16,0,9/19/2022 13:07,FLORA EXPRESS,82,3FOC2,PA,183.06,32,29654,50388,115,2021,Oil/Chemical Tanker,Tanker,US SFO,2022-10-13T08:00:00
533170707,0,6713023,2.115,107.4983,50,511,50,15,9/19/2022 13:42,DELTA 9,52,9WUV3,MY,21,8,,,127,,Tug,Tug,,
228409900,9894973,6756791,2.483333,105.0533,150,511,18,0,9/19/2022 13:43,CMA CGM KIMBERLEY,71,FMPR,FR,366,51,153907,155000,134,2021,Container Ship,Cargo,MYPKG > VNVUT,2022-09-21T23:00:00
